,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
245,306,fantastic beasts: the crimes of grindelwald,4,0,8,26
246,309,the grand budapest hotel,4,3,3,42
247,320,deliverance,4,11,12,80
248,327,idiocracy,4,3,6,45
249,330,the princess bride,4,0,8,26
250,347,legend,4,8,9,56
251,349,moana,5,10,16,2
252,351,the blue lagoon,4,11,9,92
253,352,fantastic beasts and where to find them,4,0,8,26
254,355,toy story,5,10,16,2
255,357,the lion king,5,10,11,5
256,360,the railway children return,4,11,0,18
257,363,the little mermaid,4,0,8,26
258,365,beast,4,11,2,50
259,367,cars,5,10,16,2
260,369,sen to chihiro no kamikakushi,5,10,0,84
261,371,scooby-doo,4,3,0,7
262,374,annihilation,4,11,2,50
263,375,disenchanted,5,10,16,2
264,377,almost famous,4,3,11,33
265,378,cruella,4,3,3,42
266,385,the neverending story,4,11,0,18
267,386,the green knight,4,11,8,29
268,392,harry potter and the goblet of fire,4,0,8,26
269,395,harry potter and the deathly hallows: part 1,4,0,8,26
270,397,jaws 2,4,1,12,52
271,401,charlie and the chocolate factory,4,3,0,7
272,402,ratatouille,5,10,16,2
273,407,zootopia,5,10,16,2
274,409,harry potter and the deathly hallows: part 2,4,8,4,55
275,416,prometheus,4,4,6,45
276,420,the twilight saga: breaking dawn - part 2,4,11,8,29
277,421,the martian,4,11,6,39
278,426,e.t. the extra-terrestrial,4,0,6,78
279,430,battleship,7,10,6,1
280,431,jungle cruise,7,10,16,25
281,432,apocalypto,7,10,11,47
282,433,toy story 4,5,10,16,2
283,434,furiosa,7,10,6,1
284,435,into the wild,4,15,11,69
285,436,jumanji: welcome to the jungle,7,10,16,25
286,437,beauty and the beast,4,0,8,26
287,438,cold mountain,4,11,5,39
288,439,luca,5,10,16,2
289,440,mission: impossible iii,7,10,12,28
290,441,venom,7,10,6,1
291,442,cast away,4,11,9,92
292,443,mission: impossible - rogue nation,7,10,12,28
293,444,the fast and the furious,7,10,3,22
294,445,the count of monte cristo,7,10,11,47
295,446,kingsman: the golden circle,7,10,16,25
