F9,Action,Crime,Thriller
Collateral,Action,Crime,Drama
The Tomorrow War,Action,Adventure,Drama
The Lord of the Rings: The Return of the King,Action,Adventure,Drama
Batman Begins,Action,Crime,Drama
Edge of Tomorrow,Action,Adventure,Sci-Fi
Dunkirk,Action,Drama,History
Big Hero 6,Animation,Action,Adventure
Lone Survivor,Action,Biography,Drama
Watchmen,Action,Drama,Mystery
Iron Man,Action,Adventure,Sci-Fi
Spider-Man: Into the Spider-Verse,Animation,Action,Adventure
Oblivion,Action,Adventure,Sci-Fi
Guardians of the Galaxy Vol. 2,Action,Adventure,Comedy
Deadpool 2,Action,Adventure,Comedy
The Amazing Spider-Man,Action,Adventure,Sci-Fi
The Heat,Action,Comedy,Crime
Vampires,Action,Horror,Thriller
Casino Royale,Action,Adventure,Thriller
Alita: Battle Angel,Action,Adventure,Sci-Fi
Guardians of the Galaxy Vol. 3,Action,Adventure,Comedy
Dune,Action,Adventure,Sci-Fi
Dune: Part Two,Action,Adventure,Drama
The Last Castle,Action,Drama,Thriller
Jumanji: The Next Level,Action,Adventure,Comedy
The Lost World: Jurassic Park,Action,Adventure,Sci-Fi
Zack Snyder's Justice League,Action,Adventure,Fantasy
Pearl Harbor,Action,Drama,History
Operation Fortune: Ruse de guerre,Action,Comedy,Thriller
The Revenant,Action,Adventure,Drama
Constantine,Action,Fantasy,Horror
Sonic the Hedgehog,Action,Adventure,Comedy
Transformers,Action,Adventure,Sci-Fi
Ready Player One,Action,Adventure,Sci-Fi
Star Trek,Action,Adventure,Sci-Fi
The Fifth Element,Action,Adventure,Sci-Fi
Pirates of the Caribbean: On Stranger Tides,Action,Adventure,Fantasy
Ford v Ferrari,Action,Biography,Drama
Godzilla vs. Kong,Action,Sci-Fi,Thriller
Kingsman: The Secret Service,Action,Adventure,Comedy
Big Trouble in Little China,Action,Adventure,Comedy
Pirates of the Caribbean: Dead Man's Chest,Action,Adventure,Fantasy
Point Break,Action,Crime,Thriller
Solo: A Star Wars Story,Action,Adventure,Sci-Fi
Spider-Man 3,Action,Adventure,Sci-Fi
The Hunger Games: The Ballad of Songbirds and Snakes,Action,Adventure,Drama
Sicario,Action,Crime,Drama
Red Dawn,Action,Drama,Thriller
The World's End,Action,Comedy,Sci-Fi
Starship Troopers,Action,Adventure,Sci-Fi
Predator,Action,Adventure,Horror
Baby Driver,Action,Crime,Drama
Speed,Action,Adventure,Thriller
Warrior,Action,Drama,Sport
Octopussy,Action,Adventure,Thriller
The Magnificent Seven,Action,Adventure,Western
Spider-Man: Far from Home,Action,Adventure,Sci-Fi
The Mummy,Action,Adventure,Fantasy
The Lord of the Rings: The Two Towers,Action,Adventure,Drama
Kill Bill: Vol. 1,Action,Crime,Drama
Captain America: The Winter Soldier,Action,Adventure,Sci-Fi
Spectre,Action,Adventure,Thriller
The Flash,Action,Adventure,Fantasy
Avengers: Age of Ultron,Action,Adventure,Sci-Fi
Westworld,Action,Sci-Fi,Thriller
The Marvels,Action,Adventure,Fantasy
Mortal Engines,Action,Adventure,Fantasy
The Mummy,Action,Adventure,Fantasy
Pirates of the Caribbean: At World's End,Action,Adventure,Fantasy
The Fugitive,Action,Crime,Drama
John Wick: Chapter 3 - Parabellum,Action,Crime,Thriller
Mission: Impossible - Ghost Protocol,Action,Adventure,Thriller
Captain America: Civil War,Action,Adventure,Sci-Fi
